mcID	Populations
446	cDC2
447	cDC2
448	cDC2
449	cDC2
450	cDC2
451	cDC2
452	cDC2
453	cDC2
454	cDC2
455	cDC2
456	cDC2
457	cDC2
458	cDC2
459	cDC2
460	cDC2
461	cDC2
462	cDC2
463	cDC1
464	cDC1
465	cDC1
466	cDC1
467	cDC1
468	cDC1
469	cDC1
470	cDC1
471	cDC1
472	cDC1
473	cDC1
474	cDC1
475	cDC1
476	cDC1
477	cDC1
478	cDC1
479	cDC1
480	cDC1
481	cDC1
482	cDC1
483	cDC1
484	cDC1
485	cDC1
486	cDC1
487	cDC1
488	cDC1
489	cDC1
490	cDC1
491	cDC1
492	cDC1
493	mDC
494	mDC
495	mDC
496	mDC
497	mDC
498	mDC
499	mDC
500	mDC
501	mDC
502	mDC
503	mDC
504	mDC
505	mDC
506	mDC
507	mDC
508	mDC
509	mDC
510	mDC
511	B
512	B
513	B
514	B
515	B
516	B
517	B
518	B
519	pDC
520	pDC
521	pDC
